 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36
C major (0), G major (1#), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), A minor (0), C major (0), C minor (3b), C major (0), G major (1#), A major (3#), F# minor (3#), A major (3#), A major (3#), A major (3#), A major (3#), A major (3#), A minor (0), C major (0), G major (1#), G major (1#), G major (1#), C major (0), C minor (3b), C major (0), C major (0), C major (0), C major (0), C minor (3b), C major (0), C major (0), F major (1b), C major (0), A minor (0)
A minor (0), E minor (1#), C major (0), C major (0), C major (0), C major (0), C major (0), A minor (0), A minor (0), A minor (0), C major (0), C minor (3b), C major (0), A minor (0), A major (3#), F# minor (3#), A major (3#), A major (3#), A major (3#), A major (3#), A major (3#), A major (3#), C major (0), G major (1#), G major (1#), E minor (1#), C major (0), C minor (3b), C major (0), C major (0), C major (0), C major (0), C minor (3b), C major (0), C major (0), C major (0), A minor (0), A minor (0)
F major (1b), G major (1#), C major (0), F major (1b), F major (1b), C major (0), C major (0), C major (0), C major (0), A minor (0), C major (0), C minor (3b), C major (0), C major (0), A minor (0), A major (3#), D major (2#), A major (3#), D major (2#), D major (2#), D major (2#), D major (2#), G major (1#), G major (1#), C major (0), G major (1#), C major (0), C minor (3b), C major (0), C major (0), C major (0), C major (0), Eb major (3b), C major (0), F major (1b), F major (1b), C major (0), C major (0)
G major (1#), G major (1#), G major (1#), G major (1#), C major (0), C major (0), C major (0), C major (0), C major (0), A minor (0), C major (0), C major (0), G major (1#), E minor (1#), E major (4#), E major (4#), E major (4#), E minor (1#), D major (2#), A major (3#), D major (2#), D major (2#), G major (1#), G major (1#), G major (1#), E minor (1#), G major (1#), C major (0), G major (1#), G major (1#), G major (1#), C major (0), C minor (3b), C major (0), C major (0), C major (0), G major (1#), E minor (1#)
D minor (1b), D major (2#), D major (2#), F major (1b), F major (1b), F major (1b), C major (0), A minor (0), A minor (0), A minor (0), C major (0), C minor (3b), C major (0), A minor (0), A major (3#), A major (3#), D major (2#), A major (3#), D major (2#), A major (3#), D major (2#), A major (3#), D major (2#), D major (2#), D major (2#), D major (2#), G major (1#), G minor (2b), G major (1#), D major (2#), D major (2#), F major (1b), Bb major (2b), F major (1b), F major (1b), F major (1b), A minor (0), A minor (0)
E minor (1#), E minor (1#), G major (1#), G major (1#), A minor (0), A minor (0), E minor (1#), A minor (0), A minor (0), A minor (0), E minor (1#), G major (1#), E minor (1#), E minor (1#), E major (4#), E major (4#), E major (4#), E major (4#), E major (4#), E major (4#), E major (4#), E major (4#), E minor (1#), G major (1#), G major (1#), E minor (1#), E minor (1#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), C major (0), G major (1#), G major (1#), C major (0), G major (1#), E minor (1#)
Bb major (2b), G minor (2b), G major (1#), F major (1b), F major (1b), F major (1b), C major (0), C major (0), C major (0), A minor (0), C major (0), Eb major (3b), C major (0), G major (1#), E major (4#), E major (4#), G major (1#), E minor (1#), G major (1#), D major (2#), G major (1#), D major (2#), G major (1#), G major (1#), G major (1#), G major (1#), C major (0), Eb major (3b), C major (0), G major (1#), C major (0), F major (1b), Eb major (3b), F major (1b), F major (1b), F major (1b), C major (0), C major (0)
D major (2#), D major (2#), D major (2#), G major (1#), C major (0), C major (0), G major (1#), G major (1#), D major (2#), D major (2#), G major (1#), C major (0), G major (1#), G major (1#), A major (3#), F# minor (3#), A major (3#), A major (3#), A major (3#), A major (3#), A major (3#), A major (3#), D major (2#), D major (2#), G major (1#), G major (1#), G major (1#), C major (0), G major (1#), G major (1#), G major (1#), G major (1#), C major (0), G major (1#), G major (1#), C major (0), G major (1#), E minor (1#)
G minor (2b), G minor (2b), G major (1#), G major (1#), C major (0), C major (0), G major (1#), G major (1#), C major (0), A minor (0), C major (0), C minor (3b), G major (1#), G major (1#), E major (4#), E major (4#), E major (4#), E minor (1#), G major (1#), D major (2#), D major (2#), D major (2#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), G minor (2b), G major (1#), G major (1#), G major (1#), G major (1#), C minor (3b), C major (0), G major (1#), G minor (2b), G major (1#), E minor (1#)
B minor (2#), E minor (1#), B minor (2#), E minor (1#), A minor (0), A minor (0), E minor (1#), E minor (1#), A minor (0), A minor (0), E minor (1#), G major (1#), E minor (1#), E minor (1#), B major (5#), F# major (6#), F# minor (3#), F# minor (3#), F# minor (3#), A major (3#), D major (2#), D major (2#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), E minor (1#), G major (1#), E minor (1#), E minor (1#), B minor (2#), E minor (1#), A minor (0), A minor (0), E minor (1#), D minor (1b), E minor (1#), E minor (1#)
Eb major (3b), G minor (2b), C major (0), C major (0), C major (0), C minor (3b), C major (0), C major (0), C major (0), A minor (0), C major (0), C minor (3b), C major (0), C major (0), A major (3#), F# minor (3#), A major (3#), A major (3#), A major (3#), A major (3#), A major (3#), A minor (0), C major (0), C major (0), C major (0), G major (1#), C major (0), C minor (3b), C major (0), C major (0), C major (0), C major (0), Eb major (3b), C minor (3b), C major (0), F major (1b), C major (0), C major (0)
A major (3#), A major (3#), D major (2#), G major (1#), C major (0), C major (0), C major (0), A minor (0), A minor (0), A minor (0), C major (0), C major (0), G major (1#), E minor (1#), E major (4#), F# minor (3#), A major (3#), A major (3#), A major (3#), A major (3#), A major (3#), A major (3#), D major (2#), D major (2#), D major (2#), D major (2#), G major (1#), C major (0), G major (1#), D major (2#), D major (2#), G major (1#), C major (0), A minor (0), C major (0), C major (0), A minor (0), A minor (0)
C minor (3b), G minor (2b), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), A minor (0), C major (0), C minor (3b), C major (0), C major (0), A minor (0), F# minor (3#), A major (3#), A major (3#), A major (3#), A minor (0), A major (3#), A minor (0), C major (0), G major (1#), C major (0), G major (1#), C major (0), C minor (3b), C major (0), C major (0), C major (0), C major (0), Eb major (3b), C minor (3b), C major (0), F major (1b), C major (0), C major (0)
